# ABC Multi-UAV Evolution Results
# Timestamp: 2026-06-27 17:35:19
# Mode: min
# Agents: 1
# Iterations: 10
# Employed Bees: 1
# Onlooker Bees: 1
# Limit: 10
# Exploration Rate: 0.15
# Temperature: 0.5
# Random Seed: None
# Best Objective: 999.9801777157053
# Grid Size: [481 458]
#
Iteración,Mejor Obj,Obj Actual
1,999.9827661234168,999.9827661234168
2,999.9819242830113,999.9819242830113
3,999.9819242830113,999.9819242830113
4,999.9819242830113,999.9819242830113
5,999.9819242830113,999.9819242830113
6,999.9819242830113,999.9819242830113
7,999.9801777157053,999.9801777157053
8,999.9801777157053,999.9801777157053
9,999.9801777157053,999.9801777157053
10,999.9801777157053,999.9801777157053
